bank_account_id,account_number,bank_name,account_type
BANK-001,7067314555,Fictional Bank C,SAVINGS
BANK-002,7074359147,Fictional Bank C,SAVINGS
BANK-003,6993363425,Fictional Bank B,SAVINGS
BANK-004,8963915538,Fictional Bank C,SAVINGS
BANK-005,8348695171,Fictional Bank C,SAVINGS
BANK-006,7277143438,Fictional Bank B,SAVINGS
BANK-007,1756530008,Fictional Bank C,SAVINGS
BANK-008,8347167591,Fictional Bank A,SAVINGS
BANK-009,4493402249,Fictional Bank C,SAVINGS
BANK-010,9998983814,Fictional Bank C,SAVINGS
BANK-010-V1,9998 983814,Fictional Bank A,SAVINGS
BANK-011,6413750894,Fictional Bank C,SAVINGS
BANK-012,4202738093,Fictional Bank B,SAVINGS
BANK-013,8304696057,Fictional Bank C,SAVINGS
BANK-014,3039102845,Fictional Bank A,SAVINGS
BANK-015,8202172654,Fictional Bank B,SAVINGS
BANK-016,6456519214,Fictional Bank B,SAVINGS
BANK-017,4827594663,Fictional Bank C,SAVINGS
BANK-018,7599809921,Fictional Bank B,SAVINGS
BANK-019,6503021950,Fictional Bank C,SAVINGS
BANK-020,4211583021,Fictional Bank A,SAVINGS
BANK-020-V1,4211 583021,Fictional Bank C,SAVINGS
BANK-021,5836659041,Fictional Bank A,SAVINGS
BANK-022,2162583348,Fictional Bank A,SAVINGS
BANK-023,3778463886,Fictional Bank A,SAVINGS
BANK-024,9366854406,Fictional Bank B,SAVINGS
BANK-025,8580564417,Fictional Bank C,SAVINGS
BANK-026,2382312230,Fictional Bank C,SAVINGS
BANK-027,4284082729,Fictional Bank A,SAVINGS
BANK-028,1661569165,Fictional Bank C,SAVINGS
BANK-029,6052331145,Fictional Bank A,SAVINGS
BANK-030,5271254311,Fictional Bank B,SAVINGS
BANK-030-V1,5271 254311,Fictional Bank C,SAVINGS
BANK-031,1496586852,Fictional Bank C,SAVINGS
BANK-032,5708047963,Fictional Bank B,SAVINGS
BANK-033,8373461683,Fictional Bank C,SAVINGS
BANK-034,7582545815,Fictional Bank C,SAVINGS
BANK-035,5430460418,Fictional Bank B,SAVINGS
BANK-036,4485305857,Fictional Bank B,SAVINGS
BANK-037,4739580788,Fictional Bank B,SAVINGS
BANK-038,3966037843,Fictional Bank C,SAVINGS
BANK-039,7724082209,Fictional Bank A,SAVINGS
BANK-040,8074892931,Fictional Bank C,SAVINGS
BANK-040-V1,8074 892931,Fictional Bank C,SAVINGS
