bank_account_id,account_number,bank_name,ifsc_code,branch
BANK-0001,1000000001,Bank of Baroda,SBIN006304,Bank of Baroda Main Branch
BANK-0002,1000000002,State Bank of India,SBIN003854,State Bank of India Main Branch
BANK-0003,1000000003,ICICI Bank,SBIN001858,ICICI Bank Main Branch
BANK-0004,1000000004,HDFC Bank,SBIN007897,HDFC Bank Main Branch
BANK-0005,1000000005,Bank of Baroda,SBIN002862,Bank of Baroda Main Branch
BANK-0006,1000000006,Axis Bank,SBIN002041,Axis Bank Main Branch
BANK-0007,1000000007,Punjab National Bank,SBIN008344,Punjab National Bank Main Branch
BANK-0008,1000000008,Canara Bank,SBIN006931,Canara Bank Main Branch
BANK-0009,1000000009,Bank of Baroda,SBIN002786,Bank of Baroda Main Branch
BANK-0010,1000000010,Punjab National Bank,SBIN009254,Punjab National Bank Main Branch
BANK-0011,1000000011,HDFC Bank,SBIN001710,HDFC Bank Main Branch
BANK-0012,1000000012,Axis Bank,SBIN009543,Axis Bank Main Branch
BANK-0013,1000000013,ICICI Bank,SBIN008504,ICICI Bank Main Branch
BANK-0014,1000000014,Axis Bank,SBIN001510,Axis Bank Main Branch
BANK-0015,1000000015,State Bank of India,SBIN008847,State Bank of India Main Branch
BANK-0016,1000000016,Canara Bank,SBIN007580,Canara Bank Main Branch
BANK-0017,1000000017,Punjab National Bank,SBIN002768,Punjab National Bank Main Branch
BANK-0018,1000000018,Punjab National Bank,SBIN008267,Punjab National Bank Main Branch
BANK-0019,1000000019,State Bank of India,SBIN002323,State Bank of India Main Branch
BANK-0020,1000000020,ICICI Bank,SBIN003430,ICICI Bank Main Branch
BANK-0021,1000000021,State Bank of India,SBIN003067,State Bank of India Main Branch
BANK-0022,1000000022,ICICI Bank,SBIN009984,ICICI Bank Main Branch
BANK-0023,1000000023,Axis Bank,SBIN006327,Axis Bank Main Branch
BANK-0024,1000000024,Punjab National Bank,SBIN009692,Punjab National Bank Main Branch
BANK-0025,1000000025,ICICI Bank,SBIN008433,ICICI Bank Main Branch
BANK-0026,1000000026,Bank of Baroda,SBIN008048,Bank of Baroda Main Branch
BANK-0027,1000000027,State Bank of India,SBIN002874,State Bank of India Main Branch
BANK-0028,1000000028,Canara Bank,SBIN004522,Canara Bank Main Branch
BANK-0029,1000000029,Punjab National Bank,SBIN008398,Punjab National Bank Main Branch
BANK-0030,1000000030,HDFC Bank,SBIN007779,HDFC Bank Main Branch
BANK-0031,1000000031,ICICI Bank,SBIN008430,ICICI Bank Main Branch
BANK-0032,1000000032,Punjab National Bank,SBIN007815,Punjab National Bank Main Branch
BANK-0033,1000000033,Axis Bank,SBIN002557,Axis Bank Main Branch
BANK-0034,1000000034,ICICI Bank,SBIN007992,ICICI Bank Main Branch
BANK-0035,1000000035,ICICI Bank,SBIN005176,ICICI Bank Main Branch
BANK-0036,1000000036,ICICI Bank,SBIN003500,ICICI Bank Main Branch
BANK-0037,1000000037,Axis Bank,SBIN008770,Axis Bank Main Branch
BANK-0038,1000000038,State Bank of India,SBIN002494,State Bank of India Main Branch
BANK-0039,1000000039,Canara Bank,SBIN002398,Canara Bank Main Branch
BANK-0040,1000000040,State Bank of India,SBIN008075,State Bank of India Main Branch
