phone_id,phone_number,phone_type,imei,service_provider
PHONE-0001,+91 98765 00001,VirtualNumber,860000000000001,Jio
PHONE-0002,+91 98765 00002,SmartPhone,860000000000002,Airtel
PHONE-0003,+91 98765 00003,SmartPhone,860000000000003,BSNL
PHONE-0004,+91 98765 00004,FeaturePhone,860000000000004,BSNL
PHONE-0005,+91 98765 00005,SmartPhone,860000000000005,BSNL
PHONE-0006,+91 98765 00006,SmartPhone,860000000000006,Airtel
PHONE-0007,+91 98765 00007,FeaturePhone,860000000000007,Jio
PHONE-0008,+91 98765 00008,FeaturePhone,860000000000008,Vodafone-Idea
PHONE-0009,+91 98765 00009,FeaturePhone,860000000000009,Vodafone-Idea
PHONE-0010,+91 98765 00010,FeaturePhone,860000000000010,BSNL
PHONE-0011,+91 98765 00011,SmartPhone,860000000000011,Airtel
PHONE-0012,+91 98765 00012,FeaturePhone,860000000000012,Airtel
PHONE-0013,+91 98765 00013,SmartPhone,860000000000013,Jio
PHONE-0014,+91 98765 00014,VirtualNumber,860000000000014,Vodafone-Idea
PHONE-0015,+91 98765 00015,SmartPhone,860000000000015,Jio
PHONE-0016,+91 98765 00016,VirtualNumber,860000000000016,BSNL
PHONE-0017,+91 98765 00017,VirtualNumber,860000000000017,Airtel
PHONE-0018,+91 98765 00018,SmartPhone,860000000000018,Jio
PHONE-0019,+91 98765 00019,SmartPhone,860000000000019,Jio
PHONE-0020,+91 98765 00020,VirtualNumber,860000000000020,Jio
PHONE-0021,+91 98765 00021,VirtualNumber,860000000000021,Airtel
PHONE-0022,+91 98765 00022,FeaturePhone,860000000000022,Jio
PHONE-0023,+91 98765 00023,VirtualNumber,860000000000023,Airtel
PHONE-0024,+91 98765 00024,VirtualNumber,860000000000024,Jio
PHONE-0025,+91 98765 00025,VirtualNumber,860000000000025,Jio
PHONE-0026,+91 98765 00026,FeaturePhone,860000000000026,Vodafone-Idea
PHONE-0027,+91 98765 00027,FeaturePhone,860000000000027,Airtel
PHONE-0028,+91 98765 00028,VirtualNumber,860000000000028,Vodafone-Idea
PHONE-0029,+91 98765 00029,SmartPhone,860000000000029,Vodafone-Idea
PHONE-0030,+91 98765 00030,FeaturePhone,860000000000030,Airtel
PHONE-0031,+91 98765 00031,VirtualNumber,860000000000031,Vodafone-Idea
PHONE-0032,+91 98765 00032,FeaturePhone,860000000000032,Vodafone-Idea
PHONE-0033,+91 98765 00033,SmartPhone,860000000000033,Jio
PHONE-0034,+91 98765 00034,FeaturePhone,860000000000034,Jio
PHONE-0035,+91 98765 00035,SmartPhone,860000000000035,Airtel
PHONE-0036,+91 98765 00036,VirtualNumber,860000000000036,Vodafone-Idea
PHONE-0037,+91 98765 00037,SmartPhone,860000000000037,Vodafone-Idea
PHONE-0038,+91 98765 00038,SmartPhone,860000000000038,Airtel
PHONE-0039,+91 98765 00039,FeaturePhone,860000000000039,Vodafone-Idea
PHONE-0040,+91 98765 00040,SmartPhone,860000000000040,BSNL
PHONE-0041,+91 98765 00041,VirtualNumber,860000000000041,Vodafone-Idea
PHONE-0042,+91 98765 00042,VirtualNumber,860000000000042,Jio
PHONE-0043,+91 98765 00043,VirtualNumber,860000000000043,Vodafone-Idea
PHONE-0044,+91 98765 00044,VirtualNumber,860000000000044,Jio
PHONE-0045,+91 98765 00045,SmartPhone,860000000000045,Vodafone-Idea
PHONE-0046,+91 98765 00046,SmartPhone,860000000000046,Jio
PHONE-0047,+91 98765 00047,VirtualNumber,860000000000047,Airtel
PHONE-0048,+91 98765 00048,FeaturePhone,860000000000048,Vodafone-Idea
PHONE-0049,+91 98765 00049,VirtualNumber,860000000000049,Airtel
PHONE-0050,+91 98765 00050,VirtualNumber,860000000000050,Vodafone-Idea
PHONE-0051,+91 98765 00051,SmartPhone,860000000000051,Vodafone-Idea
PHONE-0052,+91 98765 00052,VirtualNumber,860000000000052,BSNL
PHONE-0053,+91 98765 00053,FeaturePhone,860000000000053,Jio
PHONE-0054,+91 98765 00054,SmartPhone,860000000000054,BSNL
PHONE-0055,+91 98765 00055,FeaturePhone,860000000000055,Jio
PHONE-0056,+91 98765 00056,SmartPhone,860000000000056,Vodafone-Idea
PHONE-0057,+91 98765 00057,SmartPhone,860000000000057,Vodafone-Idea
