phone_id,phone_number,phone_type
PHONE-001,9710474961,MOBILE
PHONE-002,9710839550,MOBILE
PHONE-003,9887853210,MOBILE
PHONE-004,9326793138,MOBILE
PHONE-005,9294061107,MOBILE
PHONE-006,9310469669,MOBILE
PHONE-007,9441855378,MOBILE
PHONE-008,9201121098,MOBILE
PHONE-009,9702248510,MOBILE
PHONE-010,+91 9805994147,MOBILE
PHONE-010-V1,9805994147,MOBILE
PHONE-010-V2,98059-94147,MOBILE
PHONE-011,9663507300,MOBILE
PHONE-012,9669192016,MOBILE
PHONE-013,9521170428,MOBILE
PHONE-014,9675291267,MOBILE
PHONE-015,9648408747,MOBILE
PHONE-016,9679703573,MOBILE
PHONE-017,9427969283,MOBILE
PHONE-018,9836266930,MOBILE
PHONE-019,9481270214,MOBILE
PHONE-020,+91 9546076187,MOBILE
PHONE-020-V1,9546076187,MOBILE
PHONE-020-V2,95460-76187,MOBILE
PHONE-021,9210102554,MOBILE
PHONE-022,9868912965,MOBILE
PHONE-023,9219881992,MOBILE
PHONE-024,9543261463,MOBILE
PHONE-025,9273250517,MOBILE
PHONE-026,9760696779,MOBILE
PHONE-027,9196404465,MOBILE
PHONE-028,9162048563,MOBILE
PHONE-029,9160431854,MOBILE
PHONE-030,+91 9328673063,MOBILE
PHONE-030-V1,9328673063,MOBILE
PHONE-030-V2,93286-73063,MOBILE
PHONE-031,9981710474,MOBILE
PHONE-032,9577903869,MOBILE
PHONE-033,9830370979,MOBILE
PHONE-034,9515459691,MOBILE
PHONE-035,9148419734,MOBILE
PHONE-036,9433834026,MOBILE
PHONE-037,9544099643,MOBILE
PHONE-038,9344695704,MOBILE
PHONE-039,9403054607,MOBILE
PHONE-040,+91 9559080468,MOBILE
PHONE-040-V1,9559080468,MOBILE
PHONE-040-V2,95590-80468,MOBILE
PHONE-041,9801611781,MOBILE
PHONE-042,9767456125,MOBILE
PHONE-043,9169905762,MOBILE
PHONE-044,9683583852,MOBILE
PHONE-045,9869652837,MOBILE
PHONE-046,9643531298,MOBILE
PHONE-047,9604063778,MOBILE
PHONE-048,9342067073,MOBILE
PHONE-049,9381924812,MOBILE
PHONE-050,+91 9865824736,MOBILE
PHONE-050-V1,9865824736,MOBILE
PHONE-050-V2,98658-24736,MOBILE
